,movie,total_sent_num,avg_dialogue_speed,avg_word_per_sent,genre,disaster,scifi,action,horror,romance,comedy,spy,martialarts,adventure
71,thecurseoflallorona,857,2.2730833131662367,19.73978996499417,['horror'],0,0,0,1,0,0,0,0,0
72,thedeaddontdie,1237,1.9836871212406832,26.77041228779305,"['horror', 'comedy']",0,0,0,1,0,1,0,0,0
73,thefaultinourstars,2222,2.4557696158937588,25.559405940594054,['romance'],0,0,0,0,1,0,0,0,0
74,thefirstpurge,1466,2.7410674604302128,26.769440654843113,"['action', 'horror']",0,0,1,1,0,0,0,0,0
75,thehungergames,1409,2.3911497607185024,24.47835344215756,"['scifi', 'action']",0,1,1,0,0,0,0,0,0
76,themazerunner,1448,2.630927167844584,22.080801104972377,['scifi'],0,1,0,0,0,0,0,0,0
77,themummy,1307,3.3744203631448237,21.81484315225708,"['action', 'adventure']",0,0,1,0,0,0,0,0,1
78,themummytombofthedragonemperor,1165,2.8100673839519494,27.34592274678112,"['action', 'adventure']",0,0,1,0,0,0,0,0,1
79,thenotebook,1926,2.747877327177965,24.648494288681203,['romance'],0,0,0,0,1,0,0,0,0
80,thenun,1037,2.7897768637480027,22.69431051108968,['horror'],0,0,0,1,0,0,0,0,0
81,thepurgeelectionyear,1546,2.8260158080893305,25.4987063389392,"['action', 'horror']",0,0,1,1,0,0,0,0,0
82,thespies,866,2.178864470002511,35.28752886836028,"['comedy', 'spy']",0,0,0,0,0,1,1,0,0
83,truememoirsofaninternationalassassin,1790,3.228835024325753,25.444692737430174,"['action', 'comedy']",0,0,1,0,0,1,0,0,0
84,underwaterbloodwars,955,2.7440169639557053,27.51832460732984,"['action', 'horror']",0,0,1,1,0,0,0,0,0
85,vampireacademy,1876,2.905035136356424,32.531449893390196,"['horror', 'comedy']",0,0,0,1,0,1,0,0,0
86,voyagers,1045,2.4729636698344333,26.444976076555022,['scifi'],0,1,0,0,0,0,0,0,0
87,zambezia,1351,2.194914666410459,24.203552923760174,['adventure'],0,0,0,0,0,0,0,0,1
