,movie,total_sent_num,avg_dialogue_speed,avg_word_per_sent,genre
68,seafever,1107,2.5330173660677433,21.532068654019874,"['horror', 'scifi']"
69,shaolinsoccer,1251,2.318613054504731,22.81454836131095,"['comedy', 'martialarts']"
70,sharknado,1242,3.3864779141370214,23.120772946859905,"['disaster', 'scifi']"
71,shaunofthedead,1892,2.428218731751352,23.025898520084567,"['comedy', 'horror']"
72,skyline,866,2.2323067911296817,19.475750577367204,"['disaster', 'scifi']"
73,spectre,1228,2.2624695596831206,27.491042345276874,"['action', 'spy']"
74,sputnik,993,3.098275495190081,31.76737160120846,"['horror', 'scifi']"
75,theconjuring,1421,2.807328799814198,23.489795918367346,['horror']
76,thecore,2110,2.9134909353260623,26.554028436018957,"['disaster', 'scifi']"
77,thecurseoflallorona,857,2.273083313166237,19.739789964994166,['horror']
78,thedeaddontdie,1237,1.9836871212406832,26.770412287793047,"['comedy', 'horror']"
79,thediscovery,1396,2.9888629978577863,31.91977077363897,"['romance', 'scifi']"
80,theedgeofseventeen,1705,3.056230019651547,23.822873900293256,['comedy']
81,thefastandthefurioustokyodrift,761,3.3878614745720887,30.491458607095925,['action']
82,thefaultinourstars,2222,2.4557696158937588,25.559405940594058,['romance']
83,thefinalmaster,719,1.9524464309335305,33.00278164116829,"['action', 'martialarts']"
84,thefirstpurge,1466,2.741067460430213,26.76944065484311,"['action', 'horror']"
85,thehungergames,1409,2.3911497607185024,24.47835344215756,"['action', 'scifi']"
86,thekissingbooth,1839,2.8918162847636393,27.017944535073408,"['comedy', 'romance']"
87,themazerunner,1448,2.6309271678445834,22.080801104972377,['scifi']
88,themummy,1307,3.3744203631448233,21.814843152257076,"['action', 'adventure']"
89,themummytombofthedragonemperor,1165,2.810067383951949,27.345922746781117,"['action', 'adventure']"
90,thenotebook,1926,2.7478773271779655,24.648494288681203,['romance']
91,thenun,1037,2.7897768637480027,22.694310511089682,['horror']
92,theperfectstorm,1511,2.610317169148098,23.200529450694905,['disaster']
93,thephotograph,1747,2.93704459007842,23.607326846021753,['romance']
94,thepurgeelectionyear,1546,2.8260158080893305,25.498706338939197,"['action', 'horror']"
95,thering,1110,2.255297735870519,30.062162162162164,['horror']
96,theseventhadventuresofsinbad,695,3.2430941262424486,23.323741007194243,['adventure']
97,thespies,866,2.178864470002511,35.287528868360276,"['comedy', 'spy']"
98,thismeanswar,2498,2.9004253371629964,21.5080064051241,"['comedy', 'spy']"
99,triplefrontier,1650,3.15539955497976,25.795151515151517,"['action', 'adventure']"
100,tronlegacy,1231,2.2533945645912214,25.579203899268887,"['action', 'scifi']"
101,truememoirsofaninternationalassassin,1790,3.2288350243257535,25.444692737430167,"['action', 'comedy']"
102,underwaterbloodwars,955,2.744016963955705,27.51832460732984,"['action', 'horror']"
103,vampireacademy,1876,2.9050351363564237,32.53144989339019,"['comedy', 'horror']"
104,vampiresvsthebronx,1422,3.011839914402688,25.061884669479607,"['comedy', 'horror']"
105,voyagers,1045,2.472963669834433,26.444976076555022,['scifi']
106,womb,533,1.8420636586619712,23.744840525328332,['scifi']
107,worldwarz,1452,2.8161067883251083,24.56404958677686,"['action', 'horror']"
108,zambezia,1351,2.194914666410459,24.203552923760178,['adventure']
109,zoolander2,1591,2.6854142513652755,27.404148334380892,"['action', 'comedy']"
